,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
564,The Adventures of Robin Hood,1938,PG,102.0,7.9,97.0,Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,47175,3981000.0,Action,The,Adventures,of,Robin,Hood,,,,,,,,
566,King Kong,1933,Passed,100.0,7.9,90.0,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991,10000000.0,Adventure,King,Kong,,,,,,,,,,,
572,Forushande,2016,UA,124.0,7.8,85.0,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240,2402067.0,Drama,Forushande,,,,,,,,,,,,
573,Dunkirk,2017,UA,106.0,7.8,94.0,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,188373161.0,Action,Dunkirk,,,,,,,,,,,,
575,Hidden Figures,2016,UA,127.0,7.8,74.0,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876,169607287.0,Biography,Hidden,Figures,,,,,,,,,,,
576,Paddington 2,2017,U,103.0,7.8,88.0,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,40442052.0,Adventure,Paddington,2,,,,,,,,,,,
578,Kubo and the Two Strings,2016,PG,101.0,7.8,84.0,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,48023088.0,Animation,Kubo,and,the,Two,Strings,,,,,,,,
580,Manchester by the Sea,2016,UA,137.0,7.8,96.0,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,47695120.0,Drama,Manchester,by,the,Sea,,,,,,,,,
581,Under sandet,2015,R,100.0,7.8,75.0,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,35539,435266.0,Drama,Under,sandet,,,,,,,,,,,
582,Rogue One,2016,UA,133.0,7.8,65.0,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,532177324.0,Action,Rogue,One,,,,,,,,,,,
583,Captain America: Civil War,2016,UA,147.0,7.8,75.0,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649,408084349.0,Action,Captain,America:,Civil,War,,,,,,,,,
584,The Hateful Eight,2015,A,168.0,7.8,68.0,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,54117416.0,Crime,The,Hateful,Eight,,,,,,,,,,
585,Little Women,2019,U,135.0,7.8,91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,108101214.0,Drama,Little,Women,,,,,,,,,,,
586,Loving Vincent,2017,UA,94.0,7.8,62.0,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,6735118.0,Animation,Loving,Vincent,,,,,,,,,,,
588,Le passé,2013,PG-13,130.0,7.8,85.0,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,1330596.0,Drama,Le,passé,,,,,,,,,,,
590,The Lunchbox,2013,U,104.0,7.8,76.0,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,4231500.0,Drama,The,Lunchbox,,,,,,,,,,,
592,Big Hero 6,2014,U,102.0,7.8,74.0,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,222527828.0,Animation,Big,Hero,6,,,,,,,,,,
593,About Time,2013,R,123.0,7.8,55.0,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,15322921.0,Comedy,About,Time,,,,,,,,,,,
595,Kaze tachinu,2013,PG-13,126.0,7.8,83.0,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,5209580.0,Animation,Kaze,tachinu,,,,,,,,,,,
596,Toy Story 4,2019,U,100.0,7.8,84.0,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,434038008.0,Animation,Toy,Story,4,,,,,,,,,,
597,La migliore offerta,2013,R,131.0,7.8,49.0,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,85433.0,Crime,La,migliore,offerta,,,,,,,,,,
598,Moonrise Kingdom,2012,A,94.0,7.8,84.0,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,45512466.0,Comedy,Moonrise,Kingdom,,,,,,,,,,,
599,How to Train Your Dragon 2,2014,U,102.0,7.8,76.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,177002924.0,Animation,How,to,Train,Your,Dragon,2,,,,,,,
600,The Big Short,2015,A,130.0,7.8,81.0,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,70259870.0,Biography,The,Big,Short,,,,,,,,,,
603,The Girl with the Dragon Tattoo,2011,R,158.0,7.8,71.0,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010,102515793.0,Crime,The,Girl,with,the,Dragon,Tattoo,,,,,,,
604,Captain Phillips,2013,UA,134.0,7.8,82.0,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,107100855.0,Adventure,Captain,Phillips,,,,,,,,,,,
606,Straight Outta Compton,2015,R,147.0,7.8,72.0,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,161197785.0,Biography,Straight,Outta,Compton,,,,,,,,,,
607,Madeo,2009,R,129.0,7.8,79.0,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,52758,547292.0,Crime,Madeo,,,,,,,,,,,,
609,The Hobbit: The Desolation of Smaug,2013,UA,161.0,7.8,66.0,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,258366855.0,Adventure,The,Hobbit:,The,Desolation,of,Smaug,,,,,,,
