,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
0,The Shawshank Redemption,1994,A,142.0,9.3,80.0,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,28341469.0,Drama,The,Shawshank,Redemption,,,,,,,,,,
1,The Godfather,1972,A,175.0,9.2,100.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,134966411.0,Crime,The,Godfather,,,,,,,,,,,
2,The Dark Knight,2008,UA,152.0,9.0,84.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,534858444.0,Action,The,Dark,Knight,,,,,,,,,,
3,The Godfather: Part II,1974,A,202.0,9.0,90.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,57300000.0,Crime,The,Godfather:,Part,II,,,,,,,,,
4,12 Angry Men,1957,U,96.0,9.0,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,4360000.0,Crime,12,Angry,Men,,,,,,,,,,
5,The Lord of the Rings: The Return of the King,2003,U,201.0,8.9,94.0,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,377845905.0,Action,The,Lord,of,the,Rings:,The,Return,of,the,King,,,
6,Pulp Fiction,1994,A,154.0,8.9,94.0,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,107928762.0,Crime,Pulp,Fiction,,,,,,,,,,,
7,Schindler's List,1993,A,195.0,8.9,94.0,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,96898818.0,Biography,Schindler's,List,,,,,,,,,,,
8,Inception,2010,UA,148.0,8.8,74.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,292576195.0,Action,Inception,,,,,,,,,,,,
9,Fight Club,1999,A,139.0,8.8,66.0,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,37030102.0,Drama,Fight,Club,,,,,,,,,,,
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,178.0,8.8,92.0,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,315544750.0,Action,The,Lord,of,the,Rings:,The,Fellowship,of,the,Ring,,,
11,Forrest Gump,1994,UA,142.0,8.8,82.0,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,330252182.0,Drama,Forrest,Gump,,,,,,,,,,,
12,"Il buono, il brutto, il cattivo",1966,A,161.0,8.8,90.0,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,6100000.0,Western,Il,"buono,",il,"brutto,",il,cattivo,,,,,,,
13,The Lord of the Rings: The Two Towers,2002,UA,179.0,8.7,87.0,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,342551365.0,Action,The,Lord,of,the,Rings:,The,Two,Towers,,,,,
14,The Matrix,1999,A,136.0,8.7,73.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,171479930.0,Action,The,Matrix,,,,,,,,,,,
15,Goodfellas,1990,A,146.0,8.7,90.0,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,46836394.0,Biography,Goodfellas,,,,,,,,,,,,
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124.0,8.7,82.0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,290475067.0,Action,Star,Wars:,Episode,V,-,The,Empire,Strikes,Back,,,,
17,One Flew Over the Cuckoo's Nest,1975,A,133.0,8.7,83.0,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,112000000.0,Drama,One,Flew,Over,the,Cuckoo's,Nest,,,,,,,
19,Gisaengchung,2019,A,132.0,8.6,96.0,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,53367844.0,Comedy,Gisaengchung,,,,,,,,,,,,
21,Interstellar,2014,UA,169.0,8.6,74.0,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,188020017.0,Adventure,Interstellar,,,,,,,,,,,,
22,Cidade de Deus,2002,A,130.0,8.6,79.0,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,7563397.0,Crime,Cidade,de,Deus,,,,,,,,,,
23,Sen to Chihiro no kamikakushi,2001,U,125.0,8.6,96.0,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,10055859.0,Animation,Sen,to,Chihiro,no,kamikakushi,,,,,,,,
24,Saving Private Ryan,1998,R,169.0,8.6,91.0,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,216540909.0,Drama,Saving,Private,Ryan,,,,,,,,,,
25,The Green Mile,1999,A,189.0,8.6,61.0,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,136801374.0,Crime,The,Green,Mile,,,,,,,,,,
26,La vita è bella,1997,U,116.0,8.6,59.0,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,57598247.0,Comedy,La,vita,è,bella,,,,,,,,,
27,Se7en,1995,A,127.0,8.6,65.0,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,100125643.0,Crime,Se7en,,,,,,,,,,,,
28,The Silence of the Lambs,1991,A,118.0,8.6,85.0,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,130742922.0,Crime,The,Silence,of,the,Lambs,,,,,,,,
29,Star Wars,1977,UA,121.0,8.6,90.0,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,322740140.0,Action,Star,Wars,,,,,,,,,,,
31,Shichinin no samurai,1954,U,207.0,8.6,98.0,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,269061.0,Action,Shichinin,no,samurai,,,,,,,,,,
33,Joker,2019,A,122.0,8.5,59.0,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,335451311.0,Crime,Joker,,,,,,,,,,,,
34,Whiplash,2014,A,106.0,8.5,88.0,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,13092000.0,Drama,Whiplash,,,,,,,,,,,,
35,The Intouchables,2011,UA,112.0,8.5,57.0,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360,13182281.0,Biography,The,Intouchables,,,,,,,,,,,
36,The Prestige,2006,U,130.0,8.5,66.0,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1190259,53089891.0,Drama,The,Prestige,,,,,,,,,,,
37,The Departed,2006,A,151.0,8.5,85.0,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,1189773,132384315.0,Crime,The,Departed,,,,,,,,,,,
38,The Pianist,2002,R,150.0,8.5,85.0,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,729603,32572577.0,Biography,The,Pianist,,,,,,,,,,,
39,Gladiator,2000,UA,155.0,8.5,67.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1341460,187705427.0,Action,Gladiator,,,,,,,,,,,,
40,American History X,1998,R,119.0,8.5,62.0,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,1034705,6719864.0,Drama,American,History,X,,,,,,,,,,
41,The Usual Suspects,1995,A,106.0,8.5,77.0,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,991208,23341568.0,Crime,The,Usual,Suspects,,,,,,,,,,
42,Léon,1994,A,110.0,8.5,64.0,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1035236,19501238.0,Action,Léon,,,,,,,,,,,,
43,The Lion King,1994,U,88.0,8.5,88.0,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,942045,422783777.0,Animation,The,Lion,King,,,,,,,,,,
44,Terminator 2: Judgment Day,1991,U,137.0,8.5,75.0,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,995506,204843350.0,Action,Terminator,2:,Judgment,Day,,,,,,,,,
45,Nuovo Cinema Paradiso,1988,U,155.0,8.5,80.0,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,230763,11990401.0,Drama,Nuovo,Cinema,Paradiso,,,,,,,,,,
47,Back to the Future,1985,U,116.0,8.5,87.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,1058081,210609762.0,Adventure,Back,to,the,Future,,,,,,,,,
48,Once Upon a Time in the West,1968,U,165.0,8.5,80.0,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,302844,5321508.0,Western,Once,Upon,a,Time,in,the,West,,,,,,
49,Psycho,1960,A,109.0,8.5,97.0,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,604211,32000000.0,Horror,Psycho,,,,,,,,,,,,
50,Casablanca,1942,U,102.0,8.5,100.0,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,522093,1024560.0,Drama,Casablanca,,,,,,,,,,,,
51,Modern Times,1936,G,87.0,8.5,96.0,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881,163245.0,Comedy,Modern,Times,,,,,,,,,,,
52,City Lights,1931,G,87.0,8.5,99.0,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839,19181.0,Comedy,City,Lights,,,,,,,,,,,
53,Capharnaüm,2018,A,126.0,8.4,75.0,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,1661096.0,Drama,Capharnaüm,,,,,,,,,,,,
56,Kimi no na wa.,2016,U,106.0,8.4,79.0,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,194838,5017246.0,Animation,Kimi,no,na,wa.,,,,,,,,,
58,Spider-Man: Into the Spider-Verse,2018,U,117.0,8.4,87.0,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110,190241310.0,Animation,Spider-Man:,Into,the,Spider-Verse,,,,,,,,,
59,Avengers: Endgame,2019,UA,181.0,8.4,78.0,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,809955,858373000.0,Action,Avengers:,Endgame,,,,,,,,,,,
60,Avengers: Infinity War,2018,UA,149.0,8.4,68.0,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,834477,678815482.0,Action,Avengers:,Infinity,War,,,,,,,,,,
61,Coco,2017,U,105.0,8.4,81.0,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171,209726015.0,Animation,Coco,,,,,,,,,,,,
62,Django Unchained,2012,A,165.0,8.4,81.0,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,1357682,162805434.0,Drama,Django,Unchained,,,,,,,,,,,
63,The Dark Knight Rises,2012,UA,164.0,8.4,78.0,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346,448139099.0,Action,The,Dark,Knight,Rises,,,,,,,,,
64,3 Idiots,2009,UA,170.0,8.4,67.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,344445,6532908.0,Comedy,3,Idiots,,,,,,,,,,,
66,WALL·E,2008,U,98.0,8.4,95.0,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,999790,223808164.0,Animation,WALL·E,,,,,,,,,,,,
67,The Lives of Others,2006,A,137.0,8.4,89.0,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,358685,11286112.0,Drama,The,Lives,of,Others,,,,,,,,,
68,Oldeuboi,2003,A,101.0,8.4,77.0,Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,515451,707481.0,Action,Oldeuboi,,,,,,,,,,,,
69,Memento,2000,UA,113.0,8.4,80.0,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,1125712,25544867.0,Mystery,Memento,,,,,,,,,,,,
70,Mononoke-hime,1997,U,134.0,8.4,76.0,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,343171,2375308.0,Animation,Mononoke-hime,,,,,,,,,,,,
72,Raiders of the Lost Ark,1981,A,115.0,8.4,85.0,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,884112,248159971.0,Action,Raiders,of,the,Lost,Ark,,,,,,,,
73,The Shining,1980,A,146.0,8.4,66.0,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,898237,44017374.0,Drama,The,Shining,,,,,,,,,,,
74,Apocalypse Now,1979,R,147.0,8.4,94.0,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,606398,83471511.0,Drama,Apocalypse,Now,,,,,,,,,,,
75,Alien,1979,R,117.0,8.4,89.0,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,787806,78900000.0,Horror,Alien,,,,,,,,,,,,
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95.0,8.4,97.0,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,450474,275902.0,Comedy,Dr.,Strangelove,or:,How,I,Learned,to,Stop,Worrying,and,Love,the,Bomb
81,Rear Window,1954,U,112.0,8.4,100.0,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,444074,36764313.0,Mystery,Rear,Window,,,,,,,,,,,
84,1917,2019,R,119.0,8.3,78.0,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844,159227644.0,Drama,1917,,,,,,,,,,,,
88,Jagten,2012,R,115.0,8.3,77.0,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,281623,687185.0,Drama,Jagten,,,,,,,,,,,,
89,Jodaeiye Nader az Simin,2011,PG-13,123.0,8.3,95.0,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,220002,7098492.0,Drama,Jodaeiye,Nader,az,Simin,,,,,,,,,
90,Incendies,2010,R,131.0,8.3,80.0,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,150023,6857096.0,Drama,Incendies,,,,,,,,,,,,
93,Inglourious Basterds,2009,A,153.0,8.3,69.0,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,1267869,120540719.0,Adventure,Inglourious,Basterds,,,,,,,,,,,
94,Eternal Sunshine of the Spotless Mind,2004,UA,108.0,8.3,89.0,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,911664,34400301.0,Drama,Eternal,Sunshine,of,the,Spotless,Mind,,,,,,,
95,Amélie,2001,U,122.0,8.3,69.0,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,703810,33225499.0,Comedy,Amélie,,,,,,,,,,,,
96,Snatch,2000,UA,104.0,8.3,55.0,Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina,782001,30328156.0,Comedy,Snatch,,,,,,,,,,,,
97,Requiem for a Dream,2000,A,102.0,8.3,68.0,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,766870,3635482.0,Drama,Requiem,for,a,Dream,,,,,,,,,
98,American Beauty,1999,UA,122.0,8.3,84.0,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,1069738,130096601.0,Drama,American,Beauty,,,,,,,,,,,
99,Good Will Hunting,1997,U,126.0,8.3,70.0,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,861606,138433435.0,Drama,Good,Will,Hunting,,,,,,,,,,
100,Bacheha-Ye aseman,1997,PG,89.0,8.3,77.0,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,65341,933933.0,Drama,Bacheha-Ye,aseman,,,,,,,,,,,
101,Toy Story,1995,U,81.0,8.3,95.0,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,887429,191796233.0,Animation,Toy,Story,,,,,,,,,,,
102,Braveheart,1995,A,178.0,8.3,68.0,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,959181,75600000.0,Biography,Braveheart,,,,,,,,,,,,
103,Reservoir Dogs,1992,R,99.0,8.3,79.0,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,918562,2832029.0,Crime,Reservoir,Dogs,,,,,,,,,,,
104,Full Metal Jacket,1987,UA,116.0,8.3,76.0,Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin,675146,46357676.0,Drama,Full,Metal,Jacket,,,,,,,,,,
106,Aliens,1986,U,137.0,8.3,84.0,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,652719,85160248.0,Action,Aliens,,,,,,,,,,,,
107,Amadeus,1984,R,160.0,8.3,88.0,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,369007,51973029.0,Biography,Amadeus,,,,,,,,,,,,
108,Scarface,1983,A,170.0,8.3,65.0,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,740911,45598982.0,Crime,Scarface,,,,,,,,,,,,
109,Star Wars: Episode VI - Return of the Jedi,1983,U,131.0,8.3,58.0,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,950470,309125409.0,Action,Star,Wars:,Episode,VI,-,Return,of,the,Jedi,,,,
110,Das Boot,1981,R,149.0,8.3,86.0,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,231855,11487676.0,Adventure,Das,Boot,,,,,,,,,,,
111,Taxi Driver,1976,A,114.0,8.3,94.0,Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,724636,28262574.0,Crime,Taxi,Driver,,,,,,,,,,,
112,The Sting,1973,U,129.0,8.3,83.0,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,241513,159600000.0,Comedy,The,Sting,,,,,,,,,,,
113,A Clockwork Orange,1971,A,136.0,8.3,77.0,Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,757904,6207725.0,Crime,A,Clockwork,Orange,,,,,,,,,,
114,2001: A Space Odyssey,1968,U,149.0,8.3,84.0,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,603517,56954992.0,Adventure,2001:,A,Space,Odyssey,,,,,,,,,
115,Per qualche dollaro in più,1965,U,132.0,8.3,74.0,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp,232772,15000000.0,Western,Per,qualche,dollaro,in,più,,,,,,,,
116,Lawrence of Arabia,1962,U,228.0,8.3,100.0,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,268085,44824144.0,Adventure,Lawrence,of,Arabia,,,,,,,,,,
117,The Apartment,1960,U,125.0,8.3,94.0,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,164363,18600000.0,Comedy,The,Apartment,,,,,,,,,,,
118,North by Northwest,1959,U,136.0,8.3,98.0,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,299198,13275000.0,Adventure,North,by,Northwest,,,,,,,,,,
119,Vertigo,1958,A,128.0,8.3,100.0,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,364368,3200000.0,Mystery,Vertigo,,,,,,,,,,,,
120,Singin' in the Rain,1952,G,103.0,8.3,99.0,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,218957,8819028.0,Comedy,Singin',in,the,Rain,,,,,,,,,
123,Double Indemnity,1944,Passed,107.0,8.3,95.0,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,143525,5720000.0,Crime,Double,Indemnity,,,,,,,,,,,
124,Citizen Kane,1941,UA,119.0,8.3,100.0,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,403351,1585634.0,Drama,Citizen,Kane,,,,,,,,,,,
131,Green Book,2018,UA,130.0,8.2,69.0,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,377884,85080171.0,Biography,Green,Book,,,,,,,,,,,
132,"Three Billboards Outside Ebbing, Missouri",2017,A,115.0,8.2,88.0,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610,54513740.0,Comedy,Three,Billboards,Outside,"Ebbing,",Missouri,,,,,,,,
143,El secreto de sus ojos,2009,R,129.0,8.2,80.0,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,193217,6391436.0,Drama,El,secreto,de,sus,ojos,,,,,,,,
144,Warrior,2011,UA,140.0,8.2,71.0,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,435950,13657115.0,Action,Warrior,,,,,,,,,,,,
145,Shutter Island,2010,A,138.0,8.2,63.0,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,1129894,128012934.0,Mystery,Shutter,Island,,,,,,,,,,,
146,Up,2009,U,96.0,8.2,88.0,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,935507,293004164.0,Animation,Up,,,,,,,,,,,,
147,The Wolf of Wall Street,2013,A,180.0,8.2,75.0,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,1187498,116900694.0,Biography,The,Wolf,of,Wall,Street,,,,,,,,
148,Chak De! India,2007,U,153.0,8.2,68.0,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,74129,1113541.0,Drama,Chak,De!,India,,,,,,,,,,
149,There Will Be Blood,2007,A,158.0,8.2,93.0,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,517359,40222514.0,Drama,There,Will,Be,Blood,,,,,,,,,
150,Pan's Labyrinth,2006,UA,118.0,8.2,98.0,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,618623,37634615.0,Drama,Pan's,Labyrinth,,,,,,,,,,,
151,Toy Story 3,2010,U,103.0,8.2,92.0,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032,415004880.0,Animation,Toy,Story,3,,,,,,,,,,
152,V for Vendetta,2005,A,132.0,8.2,62.0,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,1032749,70511035.0,Action,V,for,Vendetta,,,,,,,,,,
155,Batman Begins,2005,UA,140.0,8.2,70.0,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,1308302,206852432.0,Action,Batman,Begins,,,,,,,,,,,
157,Der Untergang,2004,R,156.0,8.2,82.0,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler,331308,5509040.0,Biography,Der,Untergang,,,,,,,,,,,
158,Hauru no ugoku shiro,2004,U,119.0,8.2,80.0,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,333915,4711096.0,Animation,Hauru,no,ugoku,shiro,,,,,,,,,
159,A Beautiful Mind,2001,UA,135.0,8.2,72.0,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,848920,170742341.0,Biography,A,Beautiful,Mind,,,,,,,,,,
161,"Lock, Stock and Two Smoking Barrels",1998,A,107.0,8.2,66.0,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,535216,3897569.0,Action,"Lock,",Stock,and,Two,Smoking,Barrels,,,,,,,
162,L.A. Confidential,1997,A,138.0,8.2,90.0,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger,531967,64616940.0,Crime,L.A.,Confidential,,,,,,,,,,,
164,Heat,1995,A,170.0,8.2,76.0,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,577113,67436818.0,Crime,Heat,,,,,,,,,,,,
165,Casino,1995,A,178.0,8.2,73.0,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,466276,42438300.0,Crime,Casino,,,,,,,,,,,,
167,Unforgiven,1992,A,130.0,8.2,85.0,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,375935,101157447.0,Drama,Unforgiven,,,,,,,,,,,,
168,Indiana Jones and the Last Crusade,1989,U,127.0,8.2,65.0,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,692366,197171806.0,Action,Indiana,Jones,and,the,Last,Crusade,,,,,,,
170,Tonari no Totoro,1988,U,86.0,8.2,86.0,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,291180,1105564.0,Animation,Tonari,no,Totoro,,,,,,,,,,
171,Die Hard,1988,A,132.0,8.2,72.0,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,793164,83008852.0,Action,Die,Hard,,,,,,,,,,,
172,Ran,1985,U,162.0,8.2,96.0,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505,4135750.0,Action,Ran,,,,,,,,,,,,
173,Raging Bull,1980,A,129.0,8.2,89.0,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,321860,23383987.0,Biography,Raging,Bull,,,,,,,,,,,
178,Monty Python and the Holy Grail,1975,PG,91.0,8.2,91.0,Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,500875,1229197.0,Adventure,Monty,Python,and,the,Holy,Grail,,,,,,,
179,The Great Escape,1963,U,172.0,8.2,86.0,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,224730,12100000.0,Adventure,The,Great,Escape,,,,,,,,,,
183,Some Like It Hot,1959,U,121.0,8.2,98.0,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,243943,25000000.0,Comedy,Some,Like,It,Hot,,,,,,,,,
